tvId,userId,rating
60585,1594,9
1424,1259,10
77169,278,9
77169,213,4
77169,1542,9
77169,1595,5
77169,1576,10
39351,1576,10
48866,219,8
48866,907,4
69050,1246,10
69050,222,5
69050,778,4
1274,1456,4
72710,1595,4
72710,227,8
60797,1542,8
12786,1595,6
12786,230,6
62688,231,6
1972,1513,9
1972,361,10
1972,1576,10
1972,1243,6
2098,1576,10
82856,1542,10
82856,923,9
100088,242,1
100088,923,8
100088,412,9
100088,1595,1
100088,1576,1
100088,247,5
100088,248,8
100088,249,8
100088,250,9
100088,728,10
100088,1259,6
100088,1464,8
100088,254,8
100088,1436,7
1438,1168,10
1436,1576,10
75450,1576,1
75450,1456,5
1411,866,10
1411,1243,7
32726,264,10
48891,1569,2
63333,267,9
63333,1436,10
63333,269,8
63333,1217,2
484,1542,9
1435,1594,8
71914,274,4
45,1542,9
45,1002,9
63770,277,2
1418,278,6
1418,1594,10
888,1576,10
688,1168,8
688,1594,10
688,285,1
92685,286,7
39272,1576,2
113962,1595,2
84773,290,1
84773,1595,3
84773,413,10
84773,758,1
84773,1436,1
84773,297,1
84773,298,1
84773,1576,1
84773,1352,2
84773,301,7
63247,302,3
63247,1436,4
63247,1542,8
63247,1576,1
63247,1243,6
1417,312,9
67136,1522,7
194583,1595,5
79,966,4
1420,1464,9
1420,1576,10
5371,320,10
5371,1253,8
2384,1576,10
83631,1595,6
153312,1595,6
57041,1524,10
62643,326,10
62643,1456,8
186,328,1
537,1290,8
80752,696,9
2140,1542,8
1920,892,10
2171,1352,8
127235,477,8
127235,1595,3
127235,338,3
127235,630,1
73375,340,6
73375,1576,1
79593,1542,7
79593,1576,1
63639,1286,4
63639,1436,1
63639,347,10
246,348,10
21510,928,10
21510,1243,9
79696,1286,5
97546,352,9
97546,424,9
97546,354,10
114472,1595,5
4177,1352,8
33217,1312,1
157065,1595,4
1425,361,10
1425,740,6
1425,364,1
69478,1595,8
69478,1576,1
41727,370,10
74016,1436,10
112388,1595,6
114410,374,9
78191,938,8
78191,1436,9
78191,1436,9
78191,378,2
78191,379,8
78191,381,10
78191,382,7
1667,1576,1
2426,1576,10
39852,385,8
67198,386,9
67198,1513,1
67198,391,2
67198,1286,5
67198,1576,1
69740,394,10
79501,395,8
79501,398,8
4616,1576,10
70523,813,9
70523,1436,4
70523,1575,10
70523,813,9
70523,1436,4
70523,1575,10
68073,1569,2
194,1475,10
8514,1576,1
1908,1576,10
52814,412,2
52814,413,8
52814,709,7
61889,1542,9
61889,728,10
62560,1475,9
69158,1594,9
46648,419,10
46648,420,10
46648,1541,7
46648,1594,8
125988,1595,8
125988,696,10
1558,1576,10
93740,428,2
113268,1500,9
113268,430,4
113268,431,7
95403,1595,5
95403,696,9
85949,1542,9
85949,742,2
85949,436,4
85949,437,5
85949,438,1
504,440,8
504,1456,10
88329,727,8
71738,1522,7
71738,445,4
71738,1286,7
71738,1569,2
71738,1595,5
71738,1456,9
80623,451,3
80623,1542,4
19885,453,9
63210,454,10
17174,1559,4
17174,457,10
17174,1576,10
60694,1594,8
60694,788,3
60866,462,10
83095,1312,9
4068,1352,4
4068,1352,4
73544,466,2
73544,1542,7
73544,1595,6
1778,483,10
33001,1576,10
1918,1576,10
15819,1576,10
15819,1243,8
62704,1542,9
128839,475,4
128839,477,5
4620,1576,10
4620,1243,4
129552,480,5
31251,483,10
30981,484,10
43901,1576,10
18123,1290,8
75006,1312,8
67178,1576,1
46195,1524,4
4613,493,10
4613,1586,10
4613,1576,10
4613,1243,9
87940,1243,8
87940,1243,8
65942,1524,7
40008,504,4
68507,923,7
68507,1567,7
68507,923,7
68507,509,10
68507,510,10
61374,1286,5
3382,1576,10
92749,513,8
92749,514,10
92749,904,6
92749,727,8
92749,709,9
92749,709,9
107113,1472,9
107113,718,4
113137,706,7
62816,1540,2
62816,788,1
61381,802,8
1532,1243,9
1892,1542,8
74204,1312,5
74204,1576,10
62715,923,8
62715,1542,9
62715,904,6
38472,540,6
38472,1542,8
1059,1576,10
87108,1594,10
87108,1541,9
87108,1464,4
87108,546,10
129478,1588,2
153657,1594,9
71446,549,10
71446,551,10
71446,552,6
71446,1436,4
65820,1286,3
65820,1456,10
97727,1569,2
97727,557,7
94605,1569,4
94605,559,10
94605,677,10
68267,1405,10
68267,1405,10
68267,1542,9
50825,1576,10
50825,1576,10
2119,1576,10
1663,1576,10
113988,1436,9
113988,569,8
61692,1542,9
1649,1576,10
2221,1576,1
85271,923,9
85271,923,9
85271,1452,4
85271,576,6
85271,727,8
85271,709,8
233629,579,1
92783,580,3
92783,727,6
92783,1576,1
118357,1594,7
104699,1542,5
104699,1542,5
66788,938,6
66788,590,5
66788,1576,1
2673,592,10
71915,1567,3
71915,1576,1
71915,1595,4
85937,596,10
198102,1595,6
4515,1576,10
126485,1595,2
126485,1595,2
131378,603,9
88324,1542,9
3346,1352,3
68421,1569,1
68421,696,10
61662,1464,2
61662,609,9
78950,610,7
78950,611,7
78950,1542,7
63329,613,10
3845,1352,2
3828,1576,10
154521,904,1
73021,1576,1
73021,1595,3
133748,1595,6
40663,860,8
103516,1228,1
103516,1456,8
103516,1595,2
103516,1595,2
103516,630,1
43982,1233,10
171,1576,1
43982,1233,10
171,1576,1
219826,636,10
136315,637,9
68315,639,3
107124,1279,10
10929,641,10
64513,1541,8
115036,643,6
115036,1569,2
72750,1475,6
72750,646,10
103786,649,9
103786,649,9
1475,1576,10
1998,1243,10
39793,1594,8
69629,1143,10
69629,788,3
66573,656,7
66573,1464,5
21567,1576,10
202102,1595,4
202102,1456,4
606,1542,9
70796,662,9
70796,1594,7
91555,664,10
