name,id,tags
Fear the Walking Dead,62286,Action & Adventure Drama  world look like transforming horrifying apocalypse depicted Walking Dead spin set Los Angeles following new characters face beginning end world answer question 7.7  Dave Erickson Robert Kirkman  
Shameless,34307,Drama Comedy  Chicagoan Frank Gallagher proud single dad smart industrious independent kids better Frank bar spending little money passed floor kids found ways grow spite like family know apologies exactly 8.168  John Wells Paul Abbott  
Squid Game,93405,Action & Adventure Mystery Drama  Hundreds cash strapped players accept strange invitation compete children games high stakes tempting prize awaits victor 7.832  Hwang Dong-hyuk  
Malcolm in the Middle,2004,Family Comedy  gifted young teen tries survive life dimwitted dysfunctional family 8.489  Linwood Boomer  
30 Coins (30 Monedas),89844,Crime Mystery Drama  Father Vergara exorcist boxer ex convict lives remote village Spain Hoping lost forgotten Vergara demons catch 7.2  Álex de la Iglesia  
Conan,32415,Talk Comedy News  late night television talk hosted Conan 7.1  Conan O'Brien  
Breaking Bad,1396,Drama Crime  Walter White New Mexico chemistry teacher diagnosed Stage III cancer given prognosis years left live filled sense fearlessness unrelenting desire secure family financial future cost enters dangerous world drugs crime 8.895  Vince Gilligan  
Quotidien,67824,Talk  Quotidien French television program presented Yann Barthès broadcast September TMC 8.2  Yann Barthès Laurent Bon  
Chucky,90462,Crime Sci-Fi & Fantasy Drama  vintage Chucky doll turns suburban yard sale idyllic American town thrown chaos series horrifying murders begin expose town hypocrisies secrets arrival enemies allies Chucky past threatens expose truth killings demon doll untold origins 7.859  David Kirschner Don Mancini Nick Antosca  
Futurama,615,Animation Comedy Sci-Fi & Fantasy  adventures century New York City pizza delivery boy Philip Fry unwittingly cryogenically frozen thousand years finds employment Planet Express interplanetary delivery company retro futuristic century 8.387  Matt Groening  
Gen V,205715,Action & Adventure Drama Sci-Fi & Fantasy  America college superheroes gifted students moral boundaries test competing university ranking chance join Seven Vought International elite superhero team school dark secrets come light decide kind heroes want 8.025  Evan Goldberg Eric Kripke Craig Rosenberg  
How I Met Your Mother,1100,Comedy  father recounts children series flashbacks journey best friends took leading meeting mother 8.157  Carter Bays Craig Thomas  
Ghost Whisperer,1606,Sci-Fi & Fantasy Mystery Drama  Newlywed Melinda Gordon tries help dead communicate loved ones messages receives intense confusing Melinda efforts involve resolving conflicts preventing spirits passing 8.085  John Gray  
Stranger Things,66732,Drama Sci-Fi & Fantasy Mystery  young boy vanishes small town uncovers mystery involving secret experiments terrifying supernatural forces strange little girl 8.623  Matt Duffer Ross Duffer  
CSI: Crime Scene Investigation,1431,Crime Drama Mystery  Las Vegas team forensic investigators trained solve criminal cases scouring crime scene collecting irrefutable evidence finding missing pieces solve mystery 7.648  Anthony E. Zuiker Ann Donahue  
The Boys,76479,Sci-Fi & Fantasy Action & Adventure  group vigilantes known informally Boys set corrupt superheroes blue collar grit willingness fight dirty 8.469  Eric Kripke  
Sex and the City,105,Comedy  Based bestselling book Candace Bushnell Sex City tells story best friends single late thirties pursue careers talk sex lives trying survive New York social scene 7.426  Darren Star  
Miraculous: Tales of Ladybug & Cat Noir,65334,Action & Adventure Animation Kids  Normal high school kids day protectors Paris night Miraculous follows heroic adventures Marinette Adrien transform Ladybug Cat Noir set capture akumas creatures responsible turning people Paris villains hero knows true identity classmates 8.047  Thomas Astruc Jeremy Zag  
Young Sheldon,71728,Comedy Family  early life child genius Sheldon Cooper later seen Big Bang Theory 8.049  Chuck Lorre Steven Molaro  
Farma,58141,  Serbian version reality series Farm 4.9    
Two and a Half Men,2691,Comedy Drama  hedonistic jingle writer free wheeling life comes abrupt halt brother year old nephew beach house 7.452  Chuck Lorre Lee Aronsohn  
Richard Osman's House of Games,103960,Comedy Talk  week group famous faces toe toe testing general knowledge skills variety entertaining games 6.0    
The Graham Norton Show,1220,Comedy Talk  week celebrity guests join Irish comedian Graham Norton discuss going world week guests poke fun share opinions main news stories Graham joined band artist play 7.115    
Star Trek: Voyager,1855,Sci-Fi & Fantasy Drama Action & Adventure  Pulled far galaxy Federation years away maximum warp speed Starfleet ship cooperate Maquis rebels find way home 7.864  Gene Roddenberry Michael Piller Rick Berman Jeri Taylor  
The Beverly Hillbillies,1930,Comedy  Jed Clampett swamp loaded oil wildcatter discovers huge pool Jed sells land Oil Company urging cousin Pearl moves family room mansion Beverly Hills California 6.912  Paul Henning  
Agatha Christie's Poirot,790,Crime Drama Mystery  England Egypt accompanied elegant trustworthy sidekicks intelligent eccentrically refined Belgian detective Hercule Poirot pits wits collection class deceptions 8.158    
El Señor de los Cielos,44953,Crime Drama Soap  Set life times Amado Carrillo Fuentes man head Juárez cartel Nicknamed El Señor de los Cielos Lord Skies large fleet airplanes transport drugs known washing million Colombia finance huge fleet described powerful drug trafficker time 7.913  Mauricio Ochmann Mariano Calasso Luis Zelkowicz  
Captain Tsubasa,77240,Animation Comedy Drama  passionate story elementary school student thoughts dreams revolve entirely love soccer year old Tsubasa Oozora started playing football young age recreational sport friends developed obsession order pursue dream best elementary school abilities Tsubasa moves mother Nankatsu city known excellent elementary school soccer teams easily best old town Nankatsu lot competition need skill talent order stand new crowd 8.197    
