name,overview,id,poster_path,rating,vote_count,adult,director,producer,creator,actors,year_released,genres,keywords
Heartland,"Life is hard on the Flemings' ranch in the Alberta foothills where abused or neglected horses find refuge with a kind, hard-working family. Debts abound and the bank is about to foreclose. Can they keep the ranch running?",14929,https://image.tmdb.org/t/p/w500/uc2gtWczT58BiAUJWFz9P5aZmNF.jpg,8.286,536,False,[],[],['Heather Conkie'],[],2007.0,"['Family', 'Drama']","['Life', 'hard', 'Flemings', 'ranch', 'Alberta', 'foothills', 'abused', 'neglected', 'horses', 'find', 'refuge', 'kind', 'hard', 'working', 'family', 'Debts', 'abound', 'bank', 'foreclose', 'ranch', 'running']"
Eva Lasting,"A mysterious teen girl arrives at an all-boys school in 1970s Colombia, breaking stereotypes, rules... and a few hearts.",219063,https://image.tmdb.org/t/p/w500/nd0zhdvXyIdAqlc1ulYAMeWiEvO.jpg,8.285,65,False,[],[],['Dago García'],[],2023.0,['Drama'],"['mysterious', 'teen', 'girl', 'arrives', 'boys', 'school', 'Colombia', 'breaking', 'stereotypes', 'rules', 'hearts']"
Kingdom,"In this zombie thriller set in Korea's medieval Joseon dynasty which has been defeated by corruption and famine, a mysterious rumor of the king’s death spreads, as does a strange plague that renders the infected immune to death and hungry for flesh. The crown prince, fallen victim to a conspiracy, sets out on a journey to unveil the evil scheme and save his people.",70593,https://image.tmdb.org/t/p/w500/AsICtiVtz4icMQQRwDvOzfaTzjK.jpg,8.284,874,False,[],[],['Kim Eun-hee'],[],2019.0,"['Drama', 'Mystery']","['zombie', 'thriller', 'set', 'Korea', 'medieval', 'Joseon', 'dynasty', 'defeated', 'corruption', 'famine', 'mysterious', 'rumor', 'king', 'death', 'spreads', 'strange', 'plague', 'renders', 'infected', 'immune', 'death', 'hungry', 'flesh', 'crown', 'prince', 'fallen', 'victim', 'conspiracy', 'sets', 'journey', 'unveil', 'evil', 'scheme', 'save', 'people']"
The Bureau,"Within the DGSE (General Directorate for External Security), a department called the Office Of Legends (BDL) forms and remote pilot the most important agents of the French intelligence services: Clandestine. Immersion in hostile country, their mission is to identify individuals who may be recruited as sources of information. Operating ""under caption"", that is to say in a fabricated identity from scratch, they live for many years in a permanent duplicity. Our hero just returned from a clandestine mission six years in Damascus. But contrary to what is required by safety rules, he does not abandon his legend and the identity under which he lived in Syria, thus putting in danger the whole system.",62476,https://image.tmdb.org/t/p/w500/74w6JIhOu0joPIJMLde89fMPLSS.jpg,8.283,129,False,[],[],['Eric Rochant'],[],2015.0,"['Crime', 'Drama']","['DGSE', 'General', 'Directorate', 'External', 'Security', 'department', 'called', 'Office', 'Legends', 'BDL', 'forms', 'remote', 'pilot', 'important', 'agents', 'French', 'intelligence', 'services', 'Clandestine', 'Immersion', 'hostile', 'country', 'mission', 'identify', 'individuals', 'recruited', 'sources', 'information', 'Operating', 'caption', 'fabricated', 'identity', 'scratch', 'live', 'years', 'permanent', 'duplicity', 'hero', 'returned', 'clandestine', 'mission', 'years', 'Damascus', 'contrary', 'required', 'safety', 'rules', 'abandon', 'legend', 'identity', 'lived', 'Syria', 'putting', 'danger', 'system']"
Bloodhounds,Two young boxers band together with a benevolent moneylender to take down a ruthless loan shark who preys on the financially desperate.,127529,https://image.tmdb.org/t/p/w500/kxU1hhebWZGaz8gkMVi8zkZhzVt.jpg,8.283,223,False,[],[],['Kim Joo-hwan'],[],2023.0,"['Action & Adventure', 'Drama', 'Crime']","['young', 'boxers', 'band', 'benevolent', 'moneylender', 'ruthless', 'loan', 'shark', 'preys', 'financially', 'desperate']"
The Rookie,"Starting over isn’t easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force’s oldest rookie, he’s met with skepticism from some higher-ups who see him as just a walking midlife crisis.",79744,https://image.tmdb.org/t/p/w500/jbMefmo6EjcvpOULP50nfMpGP70.jpg,8.282,1487,False,[],[],['Alexi Hawley'],[],2018.0,"['Crime', 'Drama']","['Starting', 'easy', 'especially', 'small', 'town', 'guy', 'John', 'Nolan', 'life', 'altering', 'incident', 'pursuing', 'dream', 'LAPD', 'officer', 'force', 'oldest', 'rookie', 'met', 'skepticism', 'higher', 'ups', 'walking', 'midlife', 'crisis']"
The West Wing,The West Wing provides a glimpse into presidential politics in the nation's capital as it tells the stories of the members of a fictional presidential administration. These interesting characters have humor and dedication that touches the heart while the politics that they discuss touch on everyday life.,688,https://image.tmdb.org/t/p/w500/yqDWr5NAE7m1IWrygYwLyEB6pN0.jpg,8.28,423,False,[],[],['Aaron Sorkin'],[],1999.0,['Drama'],"['West', 'Wing', 'provides', 'glimpse', 'presidential', 'politics', 'nation', 'capital', 'tells', 'stories', 'members', 'fictional', 'presidential', 'administration', 'interesting', 'characters', 'humor', 'dedication', 'touches', 'heart', 'politics', 'discuss', 'touch', 'everyday', 'life']"
The Last Kingdom,"A show of heroic deeds and epic battles with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home.",63333,https://image.tmdb.org/t/p/w500/8eJf0hxgIhE6QSxbtuNCekTddy1.jpg,8.28,1523,False,[],[],['Stephen Butchard'],[],2015.0,"['Action & Adventure', 'Drama', 'War & Politics']","['heroic', 'deeds', 'epic', 'battles', 'thematic', 'depth', 'embraces', 'politics', 'religion', 'warfare', 'courage', 'love', 'loyalty', 'universal', 'search', 'identity', 'Combining', 'real', 'historical', 'figures', 'events', 'fictional', 'characters', 'story', 'people', 'combined', 'strength', 'iconic', 'kings', 'history', 'order', 'reclaim', 'land', 'build', 'place', 'home']"
Kurt Seyit and Sura,A Turkish lieutenant and the daughter of Russian nobles fight for their love against forces of family and social expectation and historical events.,62553,https://image.tmdb.org/t/p/w500/9lYKjtegF62sdr1UtWnmXBE067z.jpg,8.278,18,False,[],[],['Nermin Bezmen'],[],2014.0,"['Drama', 'War & Politics']","['Turkish', 'lieutenant', 'daughter', 'Russian', 'nobles', 'fight', 'love', 'forces', 'family', 'social', 'expectation', 'historical', 'events']"
Military Prosecutor Doberman,"Do Bae-man became military prosecutor only to make more money and be successful. On the other hand, Cha Woo-in, recently joining Bae-man’s team, became one for her revenge. As these two different purposes shows, the two have very different backgrounds and personalities. However, as they work on the same case, Bae-man and Woo-on help each other and even grow together as fine military prosecutors.",135652,https://image.tmdb.org/t/p/w500/1bhoxZfhKmzgaXHWcsgILGzHMmG.jpg,8.276,29,False,[],[],[],[],2022.0,['Drama'],"['Bae', 'man', 'military', 'prosecutor', 'money', 'successful', 'hand', 'Cha', 'Woo', 'recently', 'joining', 'Bae', 'man', 'team', 'revenge', 'different', 'purposes', 'shows', 'different', 'backgrounds', 'personalities', 'work', 'case', 'Bae', 'man', 'Woo', 'help', 'grow', 'fine', 'military', 'prosecutors']"
